"subject","acc","model","fit"
23,0.9,"Q + gaze",0.74
23,0.9,"softmax(Q)",0.9555
23,0.9,"softmax(Q * gaze)",0.855
23,0.9,"softmax(Q) * gaze",0.9185
23,0.9,"softmax(Q) + gaze",0.958
24,0.7,"Q",0.696
24,0.7,"Q * gaze",0.62
24,0.7,"Q + gaze",0.62
24,0.7,"softmax(Q)",0.7715
24,0.7,"softmax(Q * gaze)",0.6635
24,0.7,"softmax(Q) * gaze",0.66
24,0.7,"softmax(Q) + gaze",0.6795
25,0.95,"Q",0.7905
25,0.95,"Q * gaze",0.7085
25,0.95,"Q + gaze",0.748
25,0.95,"softmax(Q)",0.8765
25,0.95,"softmax(Q * gaze)",0.749
25,0.95,"softmax(Q) * gaze",0.8105
25,0.95,"softmax(Q) + gaze",0.9025
26,0.8,"Q",0.726
26,0.8,"Q * gaze",0.647499999999999
26,0.8,"Q + gaze",0.6775
26,0.8,"softmax(Q)",0.8095
26,0.8,"softmax(Q * gaze)",0.7145
26,0.8,"softmax(Q) * gaze",0.722
26,0.8,"softmax(Q) + gaze",0.7485
27,0.85,"Q",0.6885
27,0.85,"Q * gaze",0.6585
27,0.85,"Q + gaze",0.699
27,0.85,"softmax(Q)",0.85
27,0.85,"softmax(Q * gaze)",0.907
27,0.85,"softmax(Q) * gaze",0.814
27,0.85,"softmax(Q) + gaze",0.846
28,0.95,"Q",0.774
28,0.95,"Q * gaze",0.7595
28,0.95,"Q + gaze",0.739
28,0.95,"softmax(Q)",0.959
28,0.95,"softmax(Q * gaze)",0.8315
28,0.95,"softmax(Q) * gaze",0.948
28,0.95,"softmax(Q) + gaze",0.9545
29,0.85,"Q",0.6815
29,0.85,"Q * gaze",0.6955
29,0.85,"Q + gaze",0.6955
29,0.85,"softmax(Q)",0.7245
29,0.85,"softmax(Q * gaze)",0.791
29,0.85,"softmax(Q) * gaze",0.731
29,0.85,"softmax(Q) + gaze",0.729
30,0.8,"Q",0.636
30,0.8,"Q * gaze",0.634
30,0.8,"Q + gaze",0.634
30,0.8,"softmax(Q)",0.667
30,0.8,"softmax(Q * gaze)",0.696
30,0.8,"softmax(Q) * gaze",0.6765
30,0.8,"softmax(Q) + gaze",0.693
31,0.95,"Q",0.777
31,0.95,"Q * gaze",0.807
31,0.95,"Q + gaze",0.764
31,0.95,"softmax(Q)",0.9605
31,0.95,"softmax(Q * gaze)",0.87
31,0.95,"softmax(Q) * gaze",0.953
31,0.95,"softmax(Q) + gaze",0.9475
32,0.9,"Q",0.7165
32,0.9,"Q * gaze",0.7245
32,0.9,"Q + gaze",0.7315
32,0.9,"softmax(Q)",0.828
32,0.9,"softmax(Q * gaze)",0.784
32,0.9,"softmax(Q) * gaze",0.785
32,0.9,"softmax(Q) + gaze",0.807
35,0.65,"Q",0.578
35,0.65,"Q * gaze",0.5955
35,0.65,"Q + gaze",0.5915
35,0.65,"softmax(Q)",0.578
35,0.65,"softmax(Q * gaze)",0.602
35,0.65,"softmax(Q) * gaze",0.614
35,0.65,"softmax(Q) + gaze",0.612
36,0.85,"Q",0.634
36,0.85,"Q * gaze",0.632
36,0.85,"Q + gaze",0.6215
36,0.85,"softmax(Q)",0.723
36,0.85,"softmax(Q * gaze)",0.7165
36,0.85,"softmax(Q) * gaze",0.6745
36,0.85,"softmax(Q) + gaze",0.723
37,0.85,"Q",0.749
37,0.85,"Q * gaze",0.765
37,0.85,"Q + gaze",0.7475
37,0.85,"softmax(Q)",0.9485
37,0.85,"softmax(Q * gaze)",0.847
37,0.85,"softmax(Q) * gaze",0.909
37,0.85,"softmax(Q) + gaze",0.942
38,0.9,"Q",0.7965
38,0.9,"Q * gaze",0.804
38,0.9,"Q + gaze",0.7505
38,0.9,"softmax(Q)",0.9085
38,0.9,"softmax(Q * gaze)",0.88
38,0.9,"softmax(Q) * gaze",0.87
38,0.9,"softmax(Q) + gaze",0.8675
39,0.95,"Q",0.6905
39,0.95,"Q * gaze",0.6735
39,0.95,"Q + gaze",0.682
39,0.95,"softmax(Q)",0.812
39,0.95,"softmax(Q * gaze)",0.8505
39,0.95,"softmax(Q) * gaze",0.737
39,0.95,"softmax(Q) + gaze",0.8295
40,0.85,"Q",0.6675
40,0.85,"Q * gaze",0.671
40,0.85,"Q + gaze",0.628
40,0.85,"softmax(Q)",0.7335
40,0.85,"softmax(Q * gaze)",0.6935
40,0.85,"softmax(Q) * gaze",0.6995
40,0.85,"softmax(Q) + gaze",0.73
41,0.85,"Q",0.6755
41,0.85,"Q * gaze",0.671
41,0.85,"Q + gaze",0.698
41,0.85,"softmax(Q)",0.7325
41,0.85,"softmax(Q * gaze)",0.787
41,0.85,"softmax(Q) * gaze",0.679
41,0.85,"softmax(Q) + gaze",0.793
42,0.85,"Q",0.8085
42,0.85,"Q * gaze",0.78
42,0.85,"Q + gaze",0.812
