"","(Intercept)","gaze_diff_z","OEV_z","gaze_diff_z:OEV_z"
"1",2.06751607366519,0.985542584979389,-0.080079621318618,-0.0417380754988202
"2",0.238664325088514,1.17508699504135,0.00504612359825135,0.0612756543880011
"3",2.14805976165672,0.879735006822613,0.0102217802794394,-0.0789787387127513
"4",0.18431614227177,1.29448546020155,0.0178991287812251,0.0762180089155707
"5",1.73443735005608,0.67440031838112,-0.103508616889945,-0.0594751066340956
"6",0.677968890565667,1.78052548386658,0.071732373204475,0.0987980430976453
"7",0.622042494327225,0.875759206733657,0.324192447006428,-0.0688315324221064
"8",1.14282056001972,1.64564806694171,-0.144143264530922,0.102159366013306
"9",2.57033330423894,0.865691976205511,-0.00233495396446323,-0.103979466117706
"10",1.61746225432654,1.05319136015657,-0.00336623064322326,-0.029653243334963
"11",1.12685215488271,1.14983439722057,-0.0290416552811757,0.0129592907233282
"12",1.1687535971959,1.52188801521366,-0.0812578985865586,0.0714668676447219
"13",0.513733717277599,1.29370837136094,-0.108691064034185,0.0869517268053686
"15",0.00695791661014789,0.658306387962408,-0.072327987716864,0.0237557587019639
"16",2.00060989162774,0.623699740142977,0.113684394834987,-0.129539701691057
"17",0.346154211630681,0.832378877651674,-0.1331983873349,0.0406518170796788
"18",1.57936003500091,1.30058384982903,-0.151902833764687,0.0371226696382837
"19",1.86429266170706,1.49748518281473,-0.150944027144524,0.0487892777201426
"20",1.53329159912702,1.55207902647165,-0.0947576170475231,0.0588013622893137
"21",2.45468509055935,1.12039988131718,0.0803693101196315,-0.0824798203551597
"23",2.11762168047988,0.704844951621595,0.0877302526427039,-0.116629619770984
"24",0.524266085690871,1.101645565355,-0.130249072014618,0.0675598361608442
"25",1.91605348413382,0.971880735462716,0.237710310326271,-0.108875425766432
"26",0.753281522475256,1.00327558676266,-0.0606239907556579,0.0250809541666119
"27",1.30647286454755,0.72163108229196,0.0851954445383273,-0.0746683770480774
"28",2.28717378323276,1.03910652008923,0.0178341954095163,-0.0741581199331224
"29",1.13548516257089,0.787018641080897,-0.00335915975412086,-0.0339754315062989
"30",0.424666421569447,0.928444172762524,0.0239938633819027,0.0177543202496394
"31",2.45259816176625,1.37388187586841,-0.184610349346307,0.007811431492911
"32",1.39808952533349,1.42971711341793,0.0648993324906696,0.016990150900555
"35",0.326062406550964,1.11521923021288,-0.214365967977146,0.0921778381160769
"36",0.8440777411638,0.455661170852068,0.171578591800802,-0.0969180493921612
"37",2.23259524538721,1.56132643552928,-0.114919881152735,0.0275671602572992
"38",1.95527485608572,1.70186698542922,-0.114546218018403,0.0591137737805412
"39",1.32934633590662,1.04986299235545,0.0520374259837855,-0.0245005094901083
"40",0.969176818357833,1.24384495690433,-0.160134551882636,0.0648685556639716
"41",1.4252455433088,1.07010229449679,-0.136290184643512,0.0115471369814774
"42",1.24619509108003,0.49281889563809,-0.211454361996169,-0.0376890300541778
"43",1.28108005930635,0.897687969050752,0.0625508187774685,-0.0410002174758633
"44",0.523471942130775,0.546958103881209,0.0988847992838458,-0.053966381997935
"45",0.801123525043728,0.713089771442666,-0.0666112802779676,-0.00891457949172667
"46",0.241926602014726,0.615171602840659,-0.00266271761405688,-0.00452116073472046
"47",1.07594787627857,0.591549807330269,0.161262759968097,-0.0969221195199166
"48",2.54452821970845,1.07884627222937,0.0546949218379657,-0.0871770829865292
"49",0.87345142206901,0.464284219015021,0.112506016343492,-0.0862594543699125
"50",1.03266103807023,1.17598531557948,0.0153820300899869,0.0152287078608559
"52",0.796513629990986,0.967615790910254,-0.114408977648945,0.0303754971819451
"53",1.60100219292467,1.09301535467967,-0.132096126286249,0.00676636153587611
"54",2.18347064275029,1.21645785791328,-0.208977042757834,0.00750981465749472
"56",1.23560812738382,1.19318518549978,-0.173703251198729,0.046777744582517
"57",0.870877976748498,1.29976710965777,-0.186878780292708,0.084720249234598
"58",1.18060298363096,0.837329441664671,-0.0358930214772571,-0.0263901758706386
"59",2.15471137373213,1.34246433537606,-0.21209822962356,0.025523819832765
"60",0.802577171559422,1.04331231924333,-0.0723026752562931,0.030254292549704
"61",1.11830826759725,1.13103879163048,0.0364196485489315,0.000327491384639814
"62",0.255861064326677,1.26464291599492,-0.165915705925171,0.10630021118508
"63",1.60811598483177,1.05830634466126,0.149827179737637,-0.0582739440899963
"64",1.32411904953671,1.09809367572681,0.0152752401265829,-0.00693232464641177
"65",0.707416645894972,0.511479206160052,-0.24607756401925,0.0050311696225811
"66",0.205657995836199,1.64495757859243,-0.0672911888367971,0.134962299715356
"67",0.51203685870971,1.73625044945004,-0.144089872232073,0.147620483430985
"68",1.30182397142838,1.21645133102751,-0.139470750802827,0.0422423534690111
"69",2.27332412558378,1.08441810223555,0.00263490320036281,-0.0580744758188029
"70",1.94940500717836,0.894184871552635,0.015781220675939,-0.0699337072081529
"71",1.26115795651629,0.906868787355615,0.155792273283988,-0.0639426639187685
"72",0.332333495933062,0.92590947507101,-0.26236679132909,0.0828917673082675
"73",0.891489677435313,1.17456111209567,-0.0511645039870714,0.0339849579596503
"74",1.60699206275641,1.02181028067415,0.0970291502057958,-0.0525217094789176
"75",1.150746944124,0.846656971683042,0.275285328368765,-0.0872215747591813
"76",2.08622400643621,1.22767754058896,-0.148077494604585,0.00170669680866945
"77",1.1017486555508,1.23705185371628,-0.120208734514382,0.046425813896943
"78",0.607187969832625,0.669630710654182,0.116764578896385,-0.0463927724383631
"79",2.076694242022,0.951967776496338,-0.0639321832754117,-0.0519009461082652
"80",1.63885156829366,1.37371266131422,-0.0456712654909385,0.0192199813595792
