"gaze_bucket","model","mean_acc","sd_acc","n","mean_fit","se","upper","lower"
1,"Q",0.476907630522088,0.2221298621205,83,0.639186746987952,0.0243819199372686,0.501289550459357,0.45252571058482
1,"Q * gaze",0.476907630522088,0.2221298621205,83,0.304176706827309,0.0243819199372686,0.501289550459357,0.45252571058482
1,"Q + gaze",0.476907630522088,0.2221298621205,83,0.434086345381526,0.0243819199372686,0.501289550459357,0.45252571058482
1,"softmax(Q)",0.476907630522088,0.2221298621205,83,0.705622489959839,0.0243819199372686,0.501289550459357,0.45252571058482
1,"softmax(Q * gaze)",0.476907630522088,0.2221298621205,83,0.293303212851406,0.0243819199372686,0.501289550459357,0.45252571058482
1,"softmax(Q) * gaze",0.476907630522088,0.2221298621205,83,0.398564257028112,0.0243819199372686,0.501289550459357,0.45252571058482
1,"softmax(Q) + gaze",0.476907630522088,0.2221298621205,83,0.526726907630522,0.0243819199372686,0.501289550459357,0.45252571058482
2,"Q",0.616465863453815,0.220839951977877,83,0.645993975903614,0.0242403339050104,0.640706197358826,0.592225529548805
2,"Q * gaze",0.616465863453815,0.220839951977877,83,0.519598393574297,0.0242403339050104,0.640706197358826,0.592225529548805
2,"Q + gaze",0.616465863453815,0.220839951977877,83,0.568092369477912,0.0242403339050104,0.640706197358826,0.592225529548805
2,"softmax(Q)",0.616465863453815,0.220839951977877,83,0.716345381526104,0.0242403339050104,0.640706197358826,0.592225529548805
2,"softmax(Q * gaze)",0.616465863453815,0.220839951977877,83,0.595180722891566,0.0242403339050104,0.640706197358826,0.592225529548805
2,"softmax(Q) * gaze",0.616465863453815,0.220839951977877,83,0.595471887550201,0.0242403339050104,0.640706197358826,0.592225529548805
2,"softmax(Q) + gaze",0.616465863453815,0.220839951977877,83,0.658815261044177,0.0242403339050104,0.640706197358826,0.592225529548805
3,"Q",0.745983935742972,0.177447850300281,83,0.660813253012048,0.0194774319749717,0.765461367717943,0.726506503768
3,"Q * gaze",0.745983935742972,0.177447850300281,83,0.672740963855422,0.0194774319749717,0.765461367717943,0.726506503768
3,"Q + gaze",0.745983935742972,0.177447850300281,83,0.668052208835341,0.0194774319749717,0.765461367717943,0.726506503768
3,"softmax(Q)",0.745983935742972,0.177447850300281,83,0.733654618473896,0.0194774319749717,0.765461367717943,0.726506503768
3,"softmax(Q * gaze)",0.745983935742972,0.177447850300281,83,0.85425702811245,0.0194774319749717,0.765461367717943,0.726506503768
3,"softmax(Q) * gaze",0.745983935742972,0.177447850300281,83,0.728453815261044,0.0194774319749717,0.765461367717943,0.726506503768
3,"softmax(Q) + gaze",0.745983935742972,0.177447850300281,83,0.75495983935743,0.0194774319749717,0.765461367717943,0.726506503768
4,"Q",0.856425702811245,0.133557517965189,83,0.667710843373494,0.0146598421255087,0.871085544936754,0.841765860685736
4,"Q * gaze",0.856425702811245,0.133557517965189,83,0.797821285140562,0.0146598421255087,0.871085544936754,0.841765860685736
4,"Q + gaze",0.856425702811245,0.133557517965189,83,0.749668674698795,0.0146598421255087,0.871085544936754,0.841765860685736
4,"softmax(Q)",0.856425702811245,0.133557517965189,83,0.73956827309237,0.0146598421255087,0.871085544936754,0.841765860685736
4,"softmax(Q * gaze)",0.856425702811245,0.133557517965189,83,0.925090361445783,0.0146598421255087,0.871085544936754,0.841765860685736
4,"softmax(Q) * gaze",0.856425702811245,0.133557517965189,83,0.832530120481928,0.0146598421255087,0.871085544936754,0.841765860685736
4,"softmax(Q) + gaze",0.856425702811245,0.133557517965189,83,0.827058232931727,0.0146598421255087,0.871085544936754,0.841765860685736
5,"Q",0.90863453815261,0.115392620863512,83,0.675291164658635,0.0126659856373543,0.921300523789965,0.895968552515256
5,"Q * gaze",0.90863453815261,0.115392620863512,83,0.91793172690763,0.0126659856373543,0.921300523789965,0.895968552515256
5,"Q + gaze",0.90863453815261,0.115392620863512,83,0.841556224899598,0.0126659856373543,0.921300523789965,0.895968552515256
5,"softmax(Q)",0.90863453815261,0.115392620863512,83,0.750150602409638,0.0126659856373543,0.921300523789965,0.895968552515256
5,"softmax(Q * gaze)",0.90863453815261,0.115392620863512,83,0.933835341365462,0.0126659856373543,0.921300523789965,0.895968552515256
5,"softmax(Q) * gaze",0.90863453815261,0.115392620863512,83,0.932048192771084,0.0126659856373543,0.921300523789965,0.895968552515256
5,"softmax(Q) + gaze",0.90863453815261,0.115392620863512,83,0.896024096385542,0.0126659856373543,0.921300523789965,0.895968552515256
