"","(Intercept)","trial_number_z","ev_difference_z","gaze_diff_z","OEV_z","trial_number_z:ev_difference_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"1",2.65742984604619,1.12797034710042,0.80639105306341,0.864857714794093,0.0805314000634967,0.296544793459585,-0.276215025612921,0.115985810356873
"2",0.200857934396984,0.362182858171437,0.200589966840932,1.22903315675259,-0.0134967103213392,0.000831179918763469,0.133197379811032,0.136273740890573
"3",2.85071841328193,1.05005410568773,1.07544732249908,0.723721488224792,0.133189876061116,0.551355474599233,-0.421831247409836,0.0750387594582146
"4",0.102851660084895,0.0220868171541941,0.204345039891462,1.37593261677937,-0.0185226896156501,-0.0364381729351568,0.0898189346986951,-0.0802496837657063
"5",1.63857689632827,0.615403499205874,0.422669795417559,0.575480570080893,-0.225519207932493,0.188257674809931,-0.0998939945371167,-0.227720372175743
"6",0.718083787838199,0.323176657124431,0.271951877042531,1.83651328953405,0.18655379581395,-0.211601787751496,0.053287768341809,0.118519659774448
"7",0.535388590638669,0.0784113262338803,0.376843749977967,1.01511972133679,0.373837384415212,-0.0411146120039146,-0.169239416190661,0.230957748323533
"8",1.22291967912218,0.577145106563463,0.401589628992525,1.71508113643813,-0.159028637816638,0.163328890537003,0.0511858396916251,-0.0900525946272164
"9",3.74867209520254,1.48869395523733,1.18404803852989,0.661036906343729,0.0210051303344923,0.676445327169697,-0.478243830162695,0.0685716350030824
"10",2.10525432447666,0.99101489998803,0.51315236719121,1.0169027954933,-0.00930357106920227,0.122134105247389,-0.12395267733348,0.0965282548109493
"11",1.22205131782993,0.520318767260293,0.538802749838389,1.1209942432666,-0.0883984180327629,0.147637821332314,-0.0213292825724551,-0.136831989825912
"12",1.75971476709774,0.852681757435203,0.991776381581098,1.31330221855039,0.111275258100902,0.61745290256604,-0.213924738247463,0.197901649955446
"13",0.425804620567546,0.277829469389495,-0.0821657683040674,1.44959061163857,-0.263229599962436,-0.291948512858269,0.250505136886569,-0.228384013179461
"15",-0.00211957741114177,0.320973589263763,0.303433733991478,0.631659409278916,-0.0873352400154851,0.152215062589669,0.112570841311837,0.070361211464165
"16",2.61907676665418,1.0984607092428,0.867788472694613,0.83914091938227,0.0924529441640223,0.263910224283364,-0.263901369131012,0.0666276798464212
"17",0.49199741701567,0.656289218931047,0.583158394837848,0.940752668077505,0.0311931854497118,0.162370505571657,0.105597908703513,0.184194957215803
"18",1.81066058755566,0.550882862096792,0.662671256922347,1.32635607510672,-0.0698979125204463,0.308589843727698,-0.167458687529601,-0.177506397809186
"19",2.46181348713363,1.0379837128632,0.809287722146681,1.38403376153732,-0.0418333082016874,0.342280766378088,-0.174406508511325,-0.0183143648853436
"20",1.9983839597875,0.934435043981499,0.605754367965796,1.48355367706028,-0.0053094086807291,0.113149066860002,-0.0625529436796015,0.034777523547085
"21",3.50302188088057,1.27616376984818,1.34322824142837,0.821403944437154,0.211027815527874,0.865921758130181,-0.59548516525523,0.208291755073306
"23",3.01154116869141,1.21807004662429,1.31656757170175,0.668274613845978,0.319452270955367,0.751061285697021,-0.532116096088143,0.33243383261132
"24",0.666022690198361,0.451011810909107,0.580342838766284,1.17670491573097,-0.232382630604411,0.431111590737376,0.0605784965273946,-0.131155407881525
"25",2.33084356831022,0.864572145876788,0.776855964149728,1.07020131163613,0.266151294799592,0.228210821463566,-0.324489002826736,0.207193059950383
"26",1.09628741438745,0.679909278078288,0.628040985657614,0.992131653909012,0.120321047227751,0.297270430499905,-0.0929725384430359,0.246578300444745
"27",1.6029684266688,0.694160365071979,0.671942746024119,0.774084019057572,-0.0934377357272404,0.235785340002318,-0.0941755831324445,-0.133533433976691
"28",3.15385792324408,1.11411428446695,1.12074412846498,1.11695443270149,-0.0427670381186045,0.738426084567413,-0.413774887821331,-0.0622059473193625
"29",1.05566769401883,0.550197052454349,0.309364264927589,0.622885152977468,0.0516849050185804,-0.0636461142636925,-0.0440702343759846,0.082941384043569
"30",0.504462627389977,0.385398960208673,0.412679948783107,0.881133935938441,0.0225456523331981,0.154984613420252,0.00676503643512372,0.0971529535501864
"31",3.14535578363403,1.27140085041502,0.997930645659851,1.16618917757882,-0.0206231956904339,0.568865952061466,-0.335786170964591,0.0435500814058175
"32",1.63759889155449,0.680862802291833,0.733424939563221,1.21974859733236,0.269685755331017,0.350051160151453,-0.260320136289986,0.301737690981959
"35",0.206603926267346,0.194984246906731,0.166336153895606,1.21691150659232,-0.434566232392902,0.120949885481764,0.229889764731602,-0.371684021803618
"36",0.902997344111792,0.44942143576041,0.633629099404175,0.275947372450308,0.236271509347155,0.252964739046055,-0.210667955995338,0.234580574115804
"37",2.6311431376578,0.894246317484997,0.924346243973336,1.44339426370333,-0.159370438513587,0.568696237600827,-0.251509685646481,-0.217133475039513
"38",2.07163951532301,0.703424604919683,0.618591047545215,1.6335084869702,-0.0416925664390587,0.271494385167133,-0.163059581749002,-0.0844151587115918
"39",1.64969547580766,0.788301996215315,0.604579048026147,1.02283227463912,0.226901527105961,0.101895217080914,-0.166492127820766,0.258346798753969
"40",1.11027568800002,0.58277236056279,0.209553580217746,1.24219451916518,-0.383159106685317,0.177945967665582,0.105891564943458,-0.218649354830689
"41",1.52825442685687,0.459279100661866,0.413655172297189,1.11068311049112,-0.269813268751265,0.258572210767913,-0.0780555616408197,-0.307073700461959
"42",1.84517662991603,1.13048547098978,0.993666031609401,0.400843409899299,-0.105143273838443,0.6903375459965,-0.160925329346642,0.126859381189105
"43",1.67753709128484,0.722031587799052,0.801071759266988,0.920990087138396,0.0912542992216304,0.391351234525338,-0.207077083164403,0.0935990030368891
"44",0.729224621044738,0.386235227728116,0.664864136515316,0.726195177364065,-0.0296435000471346,0.490370772370574,-0.107641301831792,0.0287666311054271
"45",1.31093908945529,1.01487913746389,0.691308749948699,0.669673110394066,0.136447640520322,0.183407640424789,-0.0360614101387936,0.336270768083084
"46",0.137913092075477,-0.132779300783856,0.313888958622786,0.613462519134256,0.215494289552397,-0.0239842041386552,-0.117968946768916,0.0226987116796124
"47",1.59878598491741,0.699590026538182,1.07045144381119,0.556437569085548,0.090506599637117,0.765602021940474,-0.313598352638064,0.12728610702248
"48",3.29329511535129,1.20425874932522,1.09126456695001,1.0515151864163,0.0401687478491752,0.58326688666777,-0.414589898668864,0.0017210558115315
"49",1.0456686340929,0.509332367239163,0.672495193565011,0.462112282495754,0.0955003859297915,0.289907974960061,-0.153130979800201,0.0855024051414733
"50",1.18250516774896,0.408118951401959,0.630567456653129,1.14256207603901,0.254308740538761,0.15666335914299,-0.185463093715611,0.149609827766464
"52",1.28138496719617,1.00421763408904,0.748899119943682,0.962724284803037,0.0773388675203487,0.346451821536881,-0.0276031827676881,0.322045553134764
"53",2.33890244276746,1.09977846605591,0.958342690678929,0.881832345162595,-0.12180249837076,0.624639872869592,-0.210848493291447,0.00105189442889152
"54",2.86184992810023,1.19083316690535,0.860927069875286,1.09604524877181,-0.0866145682315457,0.569672606651089,-0.292235856131793,0.0407888362155362
"56",1.59604890874926,0.70917403438216,0.772816609567197,1.06224323482941,-0.135200775811772,0.535446209380507,-0.131380421989484,-0.0702367339172211
"57",0.976705010226312,0.263045653207733,0.480502064668462,1.255783560478,-0.200733068356408,0.351266126374107,-0.0524365498156656,-0.244536198686484
"58",1.62458280646793,0.764541338616132,0.784495989397023,0.844468428657388,-0.0738927895619593,0.456688053019152,-0.140518912792996,-0.0204776241359774
"59",2.74957817160726,1.13297202324577,0.849543958319825,1.25756213790959,-0.197704383945214,0.552135655263603,-0.215859955209319,-0.104298440040706
"60",0.864585546576819,0.436083520775764,0.659970008591743,1.04551854908291,0.069065328815753,0.274779358095651,-0.0694594571866044,0.0480430793192507
"61",1.35801169160843,0.616531289125633,0.727658129434633,1.18103053585787,0.0860987694421494,0.412830383595531,-0.159911610833422,0.131594011469778
"62",0.224310251998629,0.325875693663274,0.150794701119019,1.36828882943798,-0.122933459321085,-0.106572420712105,0.208074720975228,-0.0408538549986093
"63",1.88460673632078,0.768509757543367,0.576208752013491,1.10223865229184,0.211574976855973,0.0194997491360638,-0.185490061977007,0.16488500426892
"64",1.37178220871184,0.566225006960867,0.42851700168096,1.12265670504824,0.0031569835928595,0.0170016567907098,-0.0541514116416987,-0.0330318814238054
"65",0.794844853020048,0.629354708756313,0.342155521522167,0.551584717593494,-0.339696764892124,0.238190607195148,0.107402869788556,-0.141844965253249
"66",0.129552292816762,0.0591199471321407,0.196156634153355,1.78729528346238,-0.175746075878847,0.0606056621598604,0.165900301601836,-0.182826375760267
"67",0.284203049102838,-0.00673194029599744,-0.00676155729867889,1.85343279867757,-0.234538936438128,0.0306730110353143,0.128036457874075,-0.217203815442062
