"subject","trial_number","block","context","left_index","right_index","correct_resp","CHOICE_KEY","RT","left_outcome","right_outcome","chosen_option","EV_left","EV_right","correct_option","correct","choice","choice_id","pre_fix_left","pre_fix_right"
40,180,"transfer",100,1,6,"right","Right",614.17,NA,NA,6,15,30,5,1,6,2,0.766283524904215,0.233716475095785
40,181,"transfer",100,6,8,"right","Left",715.8,NA,NA,6,30,36,7,0,6,1,1,0
40,182,"transfer",100,8,4,"left","Right",1373.69,NA,NA,4,36,24,7,0,4,2,0.495156081808396,0.504843918191604
40,183,"transfer",100,1,5,"right","Right",608.66,NA,NA,5,15,27,4,1,5,2,1,0
40,184,"transfer",100,5,1,"left","Left",677.91,NA,NA,5,27,15,4,1,5,1,0.56043956043956,0.43956043956044
40,185,"transfer",100,3,2,"left","Left",1342.36,NA,NA,3,21,18,2,1,3,1,0.25979843225084,0.74020156774916
40,186,"transfer",100,2,6,"right","Right",968.93,NA,NA,6,18,30,5,1,6,2,0.25,0.75
40,187,"transfer",100,6,1,"left","Left",603.71,NA,NA,6,30,15,5,1,6,1,0.547112462006079,0.452887537993921
40,188,"transfer",100,5,6,"right","Right",1193.85,NA,NA,6,27,30,5,1,6,2,0.246305418719212,0.753694581280788
40,189,"transfer",100,5,6,"right","Right",621.53,NA,NA,6,27,30,5,1,6,2,1,0
40,190,"transfer",100,2,5,"right","Right",1032.91,NA,NA,5,18,27,4,1,5,2,0.40625,0.59375
40,191,"transfer",100,8,6,"left","Right",783.61,NA,NA,6,36,30,7,0,6,2,0.407809110629067,0.592190889370933
40,192,"transfer",100,2,6,"right","Right",833.58,NA,NA,6,18,30,5,1,6,2,0.310838445807771,0.689161554192229
40,193,"transfer",100,4,1,"left","Left",1491.04,NA,NA,4,24,15,3,1,4,1,0.232727272727273,0.767272727272727
40,194,"transfer",100,8,3,"left","Right",1316.76,NA,NA,3,36,21,7,0,3,2,0.621212121212121,0.378787878787879
40,195,"transfer",100,8,2,"left","Left",1070.52,NA,NA,8,36,18,7,1,8,1,0.324561403508772,0.675438596491228
40,196,"transfer",100,3,8,"right","Left",837.34,NA,NA,3,21,36,7,0,3,1,0.34375,0.65625
40,197,"transfer",100,8,1,"left","Left",934.04,NA,NA,8,36,15,7,1,8,1,0.753623188405797,0.246376811594203
40,198,"transfer",100,1,2,"right","Right",1048.34,NA,NA,2,15,18,1,1,2,2,0.541856925418569,0.458143074581431
40,199,"transfer",100,8,5,"left","Right",951.92,NA,NA,5,36,27,7,0,5,2,0.301282051282051,0.698717948717949
40,200,"transfer",100,4,8,"right","Left",1030.04,NA,NA,4,24,36,7,0,4,1,0.49685534591195,0.50314465408805
40,201,"transfer",100,5,4,"left","Left",912.4,NA,NA,5,27,24,4,1,5,1,0.353333333333333,0.646666666666667
40,202,"transfer",100,3,7,"right","Right",1544.82,NA,NA,7,21,33,6,1,7,2,0.263660017346054,0.736339982653946
40,203,"transfer",100,4,5,"right","Right",1393.98,NA,NA,5,24,27,4,1,5,2,0.6,0.4
40,204,"transfer",100,1,4,"right","Right",1241.11,NA,NA,4,15,24,3,1,4,2,0.281829419035847,0.718170580964153
40,205,"transfer",100,8,6,"left","Right",644.4,NA,NA,6,36,30,7,0,6,2,0.69047619047619,0.30952380952381
40,206,"transfer",100,1,6,"right","Right",716.02,NA,NA,6,15,30,5,1,6,2,0.753846153846154,0.246153846153846
40,207,"transfer",100,8,1,"left","Left",1155.37,NA,NA,8,36,15,7,1,8,1,0.548913043478261,0.451086956521739
40,208,"transfer",100,7,1,"left","Left",814.6,NA,NA,7,33,15,6,1,7,1,0.392592592592593,0.607407407407407
40,209,"transfer",100,3,6,"right","Right",950.77,NA,NA,6,21,30,5,1,6,2,0.323529411764706,0.676470588235294
40,210,"transfer",100,6,2,"left","Left",721.71,NA,NA,6,30,18,5,1,6,1,0.831578947368421,0.168421052631579
40,211,"transfer",100,4,7,"right","Right",1218.31,NA,NA,7,24,33,6,1,7,2,0.377445339470656,0.622554660529344
40,212,"transfer",100,3,6,"right","Right",1073.4,NA,NA,6,21,30,5,1,6,2,0.28421052631579,0.71578947368421
40,213,"transfer",100,4,5,"right","Right",758.94,NA,NA,5,24,27,4,1,5,2,1,0
40,214,"transfer",100,4,8,"right","Left",797.53,NA,NA,4,24,36,7,0,4,1,1,0
40,215,"transfer",100,7,8,"right","Left",636.58,NA,NA,7,33,36,7,0,7,1,1,0
40,216,"transfer",100,7,4,"left","Left",526.06,NA,NA,7,33,24,6,1,7,1,0.784313725490196,0.215686274509804
40,217,"transfer",100,1,8,"right","Right",899.79,NA,NA,8,15,36,7,1,8,2,0.619047619047619,0.380952380952381
40,218,"transfer",100,6,8,"right","Left",580.33,NA,NA,6,30,36,7,0,6,1,1,0
40,219,"transfer",100,2,8,"right","Right",936.04,NA,NA,8,18,36,7,1,8,2,0.433281004709576,0.566718995290424
40,220,"transfer",100,5,3,"left","Left",631.78,NA,NA,5,27,21,4,1,5,1,1,0
40,221,"transfer",100,8,7,"left","Right",1084.96,NA,NA,7,36,33,7,0,7,2,0.361071932299013,0.638928067700987
40,222,"transfer",100,2,4,"right","Right",1255.79,NA,NA,4,18,24,3,1,4,2,0.225841476655809,0.774158523344191
40,223,"transfer",100,5,8,"right","Left",600.05,NA,NA,5,27,36,7,0,5,1,1,0
40,224,"transfer",100,2,7,"right","Right",692.32,NA,NA,7,18,33,6,1,7,2,0.50561797752809,0.49438202247191
40,225,"transfer",100,1,3,"right","Right",1817.9,NA,NA,3,15,21,2,1,3,2,0.573816155988858,0.426183844011142
40,226,"transfer",100,4,3,"left","Left",648.92,NA,NA,4,24,21,3,1,4,1,1,0
40,227,"transfer",100,7,4,"left","Left",718.01,NA,NA,7,33,24,6,1,7,1,0.581818181818182,0.418181818181818
