"subject","trial_number","context","available_option_1","available_option_2","LEFT_INDEX","UP_INDEX","RIGHT_INDEX","DOWN_INDEX","CHOICE_KEY","RT","Left_Outcome","Up_Outcome","Right_Outcome","Down_Outcome","Points","chosen_option","EV_1","EV_2","correct_option","correct","option_1","option_2","option_3","option_4","avail_1","avail_2","choice","choice_id","outcome_1","outcome_2","outcome_3","outcome_4","pre_fix_1","pre_fix_2","pre_fix_3","pre_fix_4","pre_fix_avail_1","pre_fix_avail_2","post_fix_1","post_fix_2","post_fix_3","post_fix_4"
49,39,"NSC",0,2,2,0,3,1,"Left",5628.12,41,11,31,36,1295,2,13,40,2,1,1,2,3,4,1,3,3,2,11,36,41,31,0.415719130261321,0.0430879712746858,0.541192898463994,0,0.415719130261321,0.541192898463994,0.672185430463576,0,0.327814569536424,0
49,40,"PSC",2,3,3,2,1,0,"Up",1056.8,29,50,21,21,1345,2,47,30,2,1,5,6,7,8,7,8,7,1,21,21,50,29,0,0,0.540760869565217,0.459239130434783,0.540760869565217,0.459239130434783,0,0,0,0
49,41,"PSC",1,2,2,1,3,0,"Left",1412.08,48,22,31,22,1393,2,23,47,2,1,5,6,7,8,6,7,7,2,22,22,48,31,0,0.497116493656286,0.502883506343714,0,0.497116493656286,0.502883506343714,0,0,1,0
49,42,"PSC",0,1,1,3,0,2,"Left",3052.83,25,31,19,46,1418,1,20,23,1,1,5,6,7,8,5,6,6,2,19,25,46,31,0.56079091291544,0.358435002103492,0,0.0807740849810686,0.56079091291544,0.358435002103492,1,0,0,0
49,43,"PSC",0,1,3,2,1,0,"Right",4926.64,31,45,23,22,1441,1,20,23,1,1,5,6,7,8,5,6,6,2,22,23,45,31,0.28125,0.623411016949152,0,0.0953389830508475,0.28125,0.623411016949152,0.769383697813121,0.230616302186879,0,0
49,44,"NSC",1,3,3,2,0,1,"Down",2741.22,28,42,11,38,1479,1,37,30,1,1,1,2,3,4,2,4,2,1,11,38,42,28,0,0.536469572723349,0,0.463530427276651,0.536469572723349,0.463530427276651,0.360189573459716,0.0880959018678562,0.271257318093114,0.280457206579314
49,45,"NSC",0,3,0,3,1,2,"Left",2315.31,18,28,35,43,1497,0,13,30,3,0,1,2,3,4,1,4,1,1,18,35,43,28,0.423493044822257,0.0705821741370428,0.148377125193199,0.357547655847501,0.423493044822257,0.357547655847501,0.215235792019347,0,0,0.784764207980653
49,46,"NSC",0,3,1,2,3,0,"Right",6295.05,37,37,32,11,1529,3,13,30,3,1,1,2,3,4,1,4,4,2,11,37,37,32,0.477861319966583,0.0430242272347535,0,0.479114452798663,0.477861319966583,0.479114452798663,0.693654266958424,0,0,0.306345733041575
49,47,"NSC",0,1,2,0,1,3,"Right",3297.32,38,16,34,31,1563,1,13,37,1,1,1,2,3,4,1,2,2,2,16,34,38,31,0.515638963360143,0.484361036639857,0,0,0.515638963360143,0.484361036639857,0.0881147540983607,0.439549180327869,0,0.47233606557377
49,48,"NSC",0,3,2,3,1,0,"Up",6439.27,40,29,37,9,1592,3,13,30,3,1,1,2,3,4,1,4,4,2,9,37,40,29,0.541764387515786,0.0364423597329966,0.0440194840339167,0.377773768717301,0.541764387515786,0.377773768717301,1,0,0,0
49,49,"NSC",0,2,0,2,3,1,"Up",2164.02,14,40,34,38,1632,2,13,40,2,1,1,2,3,4,1,3,3,2,14,38,40,34,0.187224669603524,0,0.712555066079295,0.100220264317181,0.187224669603524,0.712555066079295,0,0.108036890645586,0.69828722002635,0.193675889328063
49,50,"NSC",0,2,1,2,0,3,"Up",2999,37,40,12,31,1672,2,13,40,2,1,1,2,3,4,1,3,3,2,12,37,40,31,0.168503937007874,0,0.831496062992126,0,0.168503937007874,0.831496062992126,0,0,0,0
49,51,"NSC",2,3,2,3,0,1,"Left",3013.77,40,26,11,36,1712,2,40,30,2,1,1,2,3,4,3,4,3,1,11,36,40,26,0,0,0.453556485355649,0.546443514644351,0.453556485355649,0.546443514644351,0,0,0,0
