"gaze_bucket","model","avg_mean_RT","sd_mean_RT","n","mean_fit","se","upper","lower"
1,"Q",1527.1950826087,458.339747866654,50,1371.17666442195,64.8190287607687,1592.01411136946,1462.37605384793
1,"Q * gaze",1527.1950826087,458.339747866654,50,1597.52168659534,64.8190287607687,1592.01411136946,1462.37605384793
1,"Q + gaze",1527.1950826087,458.339747866654,50,1381.16693354702,64.8190287607687,1592.01411136946,1462.37605384793
1,"softmax(Q)",1527.1950826087,458.339747866654,50,1349.77460098723,64.8190287607687,1592.01411136946,1462.37605384793
1,"softmax(Q * gaze)",1527.1950826087,458.339747866654,50,1395.68665310758,64.8190287607687,1592.01411136946,1462.37605384793
1,"softmax(Q) * gaze",1527.1950826087,458.339747866654,50,1721.22456805334,64.8190287607687,1592.01411136946,1462.37605384793
1,"softmax(Q) + gaze",1527.1950826087,458.339747866654,50,1389.49735533899,64.8190287607687,1592.01411136946,1462.37605384793
1,"softmax(Q + gaze)",1527.1950826087,458.339747866654,50,1414.39118959866,64.8190287607687,1592.01411136946,1462.37605384793
2,"Q",1431.53868646072,596.685044850335,50,1350.3658565249,84.3840082892542,1515.92269474997,1347.15467817146
2,"Q * gaze",1431.53868646072,596.685044850335,50,1663.22184336919,84.3840082892542,1515.92269474997,1347.15467817146
2,"Q + gaze",1431.53868646072,596.685044850335,50,1387.87401724285,84.3840082892542,1515.92269474997,1347.15467817146
2,"softmax(Q)",1431.53868646072,596.685044850335,50,1324.46491865478,84.3840082892542,1515.92269474997,1347.15467817146
2,"softmax(Q * gaze)",1431.53868646072,596.685044850335,50,1398.57003373058,84.3840082892542,1515.92269474997,1347.15467817146
2,"softmax(Q) * gaze",1431.53868646072,596.685044850335,50,1680.83446546102,84.3840082892542,1515.92269474997,1347.15467817146
2,"softmax(Q) + gaze",1431.53868646072,596.685044850335,50,1378.86479990434,84.3840082892542,1515.92269474997,1347.15467817146
2,"softmax(Q + gaze)",1431.53868646072,596.685044850335,50,1364.47977243636,84.3840082892542,1515.92269474997,1347.15467817146
3,"Q",1415.68788812873,580.614546597464,50,1338.48330860693,82.1112966309239,1497.79918475965,1333.57659149781
3,"Q * gaze",1415.68788812873,580.614546597464,50,1514.78971734237,82.1112966309239,1497.79918475965,1333.57659149781
3,"Q + gaze",1415.68788812873,580.614546597464,50,1347.00229112901,82.1112966309239,1497.79918475965,1333.57659149781
3,"softmax(Q)",1415.68788812873,580.614546597464,50,1316.97226980498,82.1112966309239,1497.79918475965,1333.57659149781
3,"softmax(Q * gaze)",1415.68788812873,580.614546597464,50,1327.0845035468,82.1112966309239,1497.79918475965,1333.57659149781
3,"softmax(Q) * gaze",1415.68788812873,580.614546597464,50,1489.14288319432,82.1112966309239,1497.79918475965,1333.57659149781
3,"softmax(Q) + gaze",1415.68788812873,580.614546597464,50,1336.36307451295,82.1112966309239,1497.79918475965,1333.57659149781
3,"softmax(Q + gaze)",1415.68788812873,580.614546597464,50,1318.64360066079,82.1112966309239,1497.79918475965,1333.57659149781
4,"Q",1345.8488571256,459.913139779818,50,1342.01961556398,65.0415399790212,1410.89039710463,1280.80731714658
4,"Q * gaze",1345.8488571256,459.913139779818,50,1284.73342365808,65.0415399790212,1410.89039710463,1280.80731714658
4,"Q + gaze",1345.8488571256,459.913139779818,50,1276.77532247061,65.0415399790212,1410.89039710463,1280.80731714658
4,"softmax(Q)",1345.8488571256,459.913139779818,50,1315.5702329456,65.0415399790212,1410.89039710463,1280.80731714658
4,"softmax(Q * gaze)",1345.8488571256,459.913139779818,50,1240.04061922725,65.0415399790212,1410.89039710463,1280.80731714658
4,"softmax(Q) * gaze",1345.8488571256,459.913139779818,50,1242.81067687863,65.0415399790212,1410.89039710463,1280.80731714658
4,"softmax(Q) + gaze",1345.8488571256,459.913139779818,50,1262.87631458283,65.0415399790212,1410.89039710463,1280.80731714658
4,"softmax(Q + gaze)",1345.8488571256,459.913139779818,50,1258.62595515591,65.0415399790212,1410.89039710463,1280.80731714658
5,"Q",1051.00553939394,359.940353183849,50,1324.19957648792,50.9032529117961,1101.90879230574,1000.10228648214
5,"Q * gaze",1051.00553939394,359.940353183849,50,1059.8131454286,50.9032529117961,1101.90879230574,1000.10228648214
5,"Q + gaze",1051.00553939394,359.940353183849,50,1180.19272392278,50.9032529117961,1101.90879230574,1000.10228648214
5,"softmax(Q)",1051.00553939394,359.940353183849,50,1285.9619793437,50.9032529117961,1101.90879230574,1000.10228648214
5,"softmax(Q * gaze)",1051.00553939394,359.940353183849,50,1151.35709359278,50.9032529117961,1101.90879230574,1000.10228648214
5,"softmax(Q) * gaze",1051.00553939394,359.940353183849,50,1005.99269516999,50.9032529117961,1101.90879230574,1000.10228648214
5,"softmax(Q) + gaze",1051.00553939394,359.940353183849,50,1164.04841774595,50.9032529117961,1101.90879230574,1000.10228648214
5,"softmax(Q + gaze)",1051.00553939394,359.940353183849,50,1179.63239527636,50.9032529117961,1101.90879230574,1000.10228648214
