"subject","trial_type","acc","model","fit","t0","learn_rate","Q_beta","gaze_beta","threshold_sep","upper_bound","w_rel","theta","threshold"
1,"I",0.75,"Q",0.31625,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"Q * gaze",0.549166666666667,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"Q + gaze",0.464166666666667,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"softmax(Q)",0.510833333333333,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"softmax(Q * gaze)",0.538333333333333,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"softmax(Q) * gaze",0.695416666666667,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"softmax(Q) + gaze",0.798333333333333,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
1,"I",0.75,"softmax(Q + gaze)",0.63375,92.5987475104465,0.235648915445588,0.439598762281331,0.561141791046503,244.572048175671,511.949582068509,0.295243191948044,2.52526295795325,756.521630244179
2,"I",0.166666666666667,"Q",0.210833333333333,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"Q * gaze",0.240833333333333,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"Q + gaze",0.218333333333333,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"softmax(Q)",0.0720833333333333,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"softmax(Q * gaze)",0.104583333333333,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"softmax(Q) * gaze",0.09625,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"softmax(Q) + gaze",0.12125,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
2,"I",0.166666666666667,"softmax(Q + gaze)",0.0841666666666667,97.5809892000671,0.178511618919379,0.253086339874227,0.492761905571798,132.085464700068,286.711369509319,0.991285916305496,2.824211991153,418.796834209388
3,"I",0.0416666666666667,"Q",0.21125,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"Q * gaze",0.44625,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"Q + gaze",0.207916666666667,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"softmax(Q)",0.160833333333333,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"softmax(Q * gaze)",0.424583333333333,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"softmax(Q) * gaze",0.431666666666667,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"softmax(Q) + gaze",0.15,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
3,"I",0.0416666666666667,"softmax(Q + gaze)",0.185416666666667,75.2994965373747,0.00878752710183484,0.283979667813793,0.150104076562511,92.8765453711709,181.078187756458,0.843013235397767,9.89993280166561,273.954733127629
4,"I",0.25,"Q",0.295833333333333,74.267143580087,0.377614861733122,0.364863293200861,1.0350047076678,144.270579755138,378.901550123813,0.982443996764792,0.934768944883907,523.17212987895
4,"I",0.25,"Q * gaze",0.277916666666667,74.267143580087,0.377614861733122,0.364863293200861,1.0350047076678,144.270579755138,378.901550123813,0.982443996764792,0.934768944883907,523.17212987895
4,"I",0.25,"Q + gaze",0.227916666666667,74.267143580087,0.377614861733122,0.364863293200861,1.0350047076678,144.270579755138,378.901550123813,0.982443996764792,0.934768944883907,523.17212987895
