"","(Intercept)","ev_difference_z","rel_val_diff_z","OEV_z","ORV_z","gaze_diff_z"
"1",1.71219232748853,0.155310898977238,0.0817920377433521,-2.26059720184686,0.329098523710577,0.37388039826545
"2",0.000803958747327638,-0.467336052498485,1.46158130041392,-0.958027703630704,0.11084241827385,0.460735359124377
"3",0.847882458173464,0.24313064574928,2.61505372325512,-0.0211070299749606,-0.339055738488234,0.839356614977059
"4",-0.206923963578846,-0.334421872040537,0.708548869820271,0.222719436285751,-0.220690706599014,0.390978829275793
"6",1.84857105469864,0.539300857595005,1.80452839909491,-0.671729294582053,-0.135625424306888,0.92785549953739
"7",0.110811859440037,-0.1777395640199,2.51093321177194,0.729560864851771,0.177838053913714,0.587496925459793
"8",0.487212498775346,-0.104769539119059,0.794749975186737,-0.0264522116320313,0.0219222837129229,0.136562137713172
"9",-0.811544947911987,-0.781472806572008,1.69202988566283,0.31178087125787,0.162952408502906,0.859707081172262
"10",1.7549469229947,0.523795057221191,-0.166556347887734,-1.12720349952639,-0.452932732513945,0.0655158526254913
"11",0.22634318113679,-0.142120509254477,0.095959427576294,0.0397992061272965,0.019770800803214,1.02773351187613
"12",-0.143064732464975,-0.636398890868943,1.53439080001837,-1.12881449616219,0.148334667080595,1.16923901467001
"13",0.923943050991002,0.290441778538951,0.277186205957059,0.586487314635533,-0.0970106496653403,0.670097285887694
"14",0.722190804118034,0.0326315643443349,0.285751252072882,0.0164203066820048,-0.120426367789746,0.736836707810021
"16",0.553131554723851,-0.11696337110347,0.981369055019157,-0.334421341908829,0.358828190063072,0.700639516714237
"17",0.686676173610718,0.105194344708733,1.31872247936558,1.07503994567442,0.061928118567593,0.170265785961127
"18",-0.159918650582963,-0.148962599987333,2.63586941205299,-0.087195462589536,-0.60750697416484,0.717688607937066
"19",0.739911619984572,0.0823049635881915,1.52370723718085,0.653372020774877,-0.151529149582388,-0.00022109976573359
"20",0.566053542431501,0.0851497888180818,2.16511614444359,0.0314681524759167,-0.0930817163138475,1.57737052953786
"22",1.52391027164099,0.423714655517987,2.97104151155301,0.0197706708989631,0.121456181093897,0.99617196160784
"23",0.674630233170581,-0.0929802053382051,3.00779945833726,-0.205136818055589,0.247106906236109,0.592062642341185
"24",0.404558075561678,-0.0417280638911234,1.17627061713871,-0.00408568116712282,0.20562135468525,2.13812496026788
"25",2.06188854152862,0.698321596835909,0.594516850581993,-0.0496829889844212,-0.133410920641232,1.21043945822169
"26",-0.304415490188469,-0.396838983227472,1.57140909901589,0.776161590633132,0.273759075204546,0.718284926431411
"28",0.515519729451391,-0.294649050760811,1.18616402698849,-1.01098241863413,0.16530560325274,0.493062273314702
"29",1.82641692551249,0.295433117502966,0.0676213023996703,-0.956830748276256,0.408824311735416,0.991892860282289
"31",1.97637190239497,0.647174086089628,1.13260127863707,-0.419741377767831,-0.176850552971743,1.63690048823998
"32",0.346898803765234,-0.0222307412296343,0.623627724124066,-0.213676339078913,-0.0874966116249633,1.21853133876121
"33",4.20977921851093,1.50988444178276,0.121668570636123,-0.103715930997487,0.157007749073518,0.371178531996442
"34",1.76684937801577,0.65684395336239,0.136068571796233,-0.824371467741667,-0.344639085290536,0.788697544900562
"35",1.86548706750757,0.344677069062045,0.711671149742818,-0.385180998076797,0.58448777205211,0.164628425554487
"38",-0.338926477438677,-0.537333205324474,2.64998508411996,-0.20764589172233,0.0966252582267003,0.85933949288339
"40",1.27611018095222,0.107085891251528,0.264877000919267,-1.28797255677547,0.00114472113757823,0.701896759226844
"41",0.48705077802946,0.195782349456076,0.477032616111706,-0.127447637455019,-0.341354738434129,2.22195742335992
"42",2.25221511543546,0.885347721662991,0.489575219256103,1.12996150834777,-0.0311090685429423,1.10819607956161
"43",-0.600997348053653,-0.281267792046466,0.57642800375483,-0.0988322191960779,-0.376850741941732,2.8305726062696
"44",3.58481679128125,1.37952354330515,0.0896297494812468,0.73939793625481,-0.0306620541254032,0.208161443841173
"45",0.19796321603777,-0.224956997118866,0.888662615674436,-0.349567465538386,0.0182983517849414,1.8203304460952
"46",-1.05308025729951,-0.424058085030183,1.30963056420052,-0.784514367812844,-0.797697610011496,2.21675031530585
"47",2.41932772073809,0.683791449901422,1.56668164321772,-0.0556411856638899,0.332265327786633,0.673295282703143
"48",1.69251120129968,0.352270737852937,0.918781831545239,-0.357159701816099,-0.102039553036333,0.672852617495116
"49",1.59738003662059,0.584928277425096,2.98517038613173,1.09865917458359,0.193142624720748,1.00778405438371
"50",2.52059454886906,0.881210699748262,2.18852216979685,0.124320659266809,-0.218136081922388,0.380989189405697
"51",2.8683666456013,1.09357482327049,0.883546830444662,0.473120105236471,0.279731318827932,1.14631268021285
"52",1.1778142878494,0.275855590942924,2.4183617406729,-0.449399568429242,-0.0203193413383381,1.31131369504464
"53",4.71785387632787,1.64131572275727,0.0798652163862268,-0.0963565427918694,0.277570756893004,0.016312401185409
"54",1.02679792369537,0.1727038397066,1.86324746078977,0.110204343653548,0.257236109677035,0.465965947097108
"55",0.72494947256616,0.140579239047503,-0.328912087615982,-0.101304770803501,0.043889060558386,0.565629398914206
"56",1.74279995353084,0.570580261028331,0.332576149150471,0.0179070254393356,-0.0387040604794728,0.300665357213598
"57",4.6978084031356,1.6430802353901,0.065731625369456,-0.105763178745683,0.263158559593205,0.116323011184398
"58",0.0157081162440051,-0.156288564487497,1.65168337781654,-1.10275170391274,-0.44322896318489,1.34441879154992
