"trial_number","acc","n","se","upper","lower","model","fit"
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"Q",0.5022
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"Q * gaze",0.4846
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"Q + gaze",0.4736
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"softmax(Q)",0.4948
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"softmax(Q * gaze)",0.4854
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"softmax(Q) * gaze",0.4906
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"softmax(Q) + gaze",0.4756
1,0.36,50,0.0678822509939086,0.427882250993909,0.292117749006091,"softmax(Q + gaze)",0.4802
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"Q",0.5362
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"Q * gaze",0.5418
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"Q + gaze",0.5538
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"softmax(Q)",0.534
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"softmax(Q * gaze)",0.5674
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"softmax(Q) * gaze",0.5606
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"softmax(Q) + gaze",0.552
2,0.64,50,0.0678822509939086,0.707882250993909,0.572117749006091,"softmax(Q + gaze)",0.5776
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"Q",0.5192
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"Q * gaze",0.5654
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"Q + gaze",0.567
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"softmax(Q)",0.546
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"softmax(Q * gaze)",0.5758
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"softmax(Q) * gaze",0.5668
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"softmax(Q) + gaze",0.5686
3,0.66,50,0.0669925368977769,0.726992536897777,0.593007463102223,"softmax(Q + gaze)",0.5852
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"Q",0.5604
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"Q * gaze",0.5116
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"Q + gaze",0.5616
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"softmax(Q)",0.5826
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"softmax(Q * gaze)",0.5334
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"softmax(Q) * gaze",0.5412
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"softmax(Q) + gaze",0.5732
4,0.62,50,0.068644009206922,0.688644009206922,0.551355990793078,"softmax(Q + gaze)",0.5472
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"Q",0.5778
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"Q * gaze",0.6078
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"Q + gaze",0.6126
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"softmax(Q)",0.6172
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"softmax(Q * gaze)",0.6426
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"softmax(Q) * gaze",0.6304
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"softmax(Q) + gaze",0.648
5,0.8,50,0.0565685424949238,0.856568542494924,0.743431457505076,"softmax(Q + gaze)",0.6548
6,0.54,50,0.0704840407468244,0.610484040746824,0.469515959253176,"Q",0.5452
