"subject","gaze_beta","model","gaze_effect","fitted_effect"
1,0.287473021884588,"Q",0.333333333333333,0.0220833333333333
1,0.287473021884588,"Q * gaze",0.333333333333333,0.58875
1,0.287473021884588,"Q + gaze",0.333333333333333,0.443333333333333
1,0.287473021884588,"softmax(Q)",0.333333333333333,0.07625
1,0.287473021884588,"softmax(Q * gaze)",0.333333333333333,0.418333333333333
1,0.287473021884588,"softmax(Q) * gaze",0.333333333333333,0.28375
1,0.287473021884588,"softmax(Q) + gaze",0.333333333333333,0.38875
2,0.0989074881363317,"Q",0.166666666666667,0.0320833333333334
2,0.0989074881363317,"Q * gaze",0.166666666666667,0.42875
2,0.0989074881363317,"Q + gaze",0.166666666666667,0.247083333333333
2,0.0989074881363317,"softmax(Q)",0.166666666666667,0.0366666666666666
2,0.0989074881363317,"softmax(Q * gaze)",0.166666666666667,0.181666666666667
2,0.0989074881363317,"softmax(Q) * gaze",0.166666666666667,0.24375
2,0.0989074881363317,"softmax(Q) + gaze",0.166666666666667,0.169166666666667
3,0.00784735375074532,"Q",0.625,0.0729166666666666
3,0.00784735375074532,"Q * gaze",0.625,0.346666666666667
3,0.00784735375074532,"Q + gaze",0.625,0.0991666666666667
3,0.00784735375074532,"softmax(Q)",0.625,0.06
3,0.00784735375074532,"softmax(Q * gaze)",0.625,0.657083333333333
3,0.00784735375074532,"softmax(Q) * gaze",0.625,0.31375
3,0.00784735375074532,"softmax(Q) + gaze",0.625,0.122916666666667
4,0.179232474004991,"Q",0.583333333333333,0.025
4,0.179232474004991,"Q * gaze",0.583333333333333,0.695
4,0.179232474004991,"Q + gaze",0.583333333333333,0.5275
4,0.179232474004991,"softmax(Q)",0.583333333333333,0.0266666666666666
4,0.179232474004991,"softmax(Q * gaze)",0.583333333333333,0.467916666666667
4,0.179232474004991,"softmax(Q) * gaze",0.583333333333333,0.677916666666667
4,0.179232474004991,"softmax(Q) + gaze",0.583333333333333,0.499166666666667
6,0.152451076617172,"Q",0.291666666666667,0.0779166666666666
6,0.152451076617172,"Q * gaze",0.291666666666667,0.36625
6,0.152451076617172,"Q + gaze",0.291666666666667,0.265
6,0.152451076617172,"softmax(Q)",0.291666666666667,0.0887500000000001
6,0.152451076617172,"softmax(Q * gaze)",0.291666666666667,0.2475
6,0.152451076617172,"softmax(Q) * gaze",0.291666666666667,0.415
6,0.152451076617172,"softmax(Q) + gaze",0.291666666666667,0.18875
7,0.0112812797362126,"Q",0.291666666666667,0.120833333333333
7,0.0112812797362126,"Q * gaze",0.291666666666667,0.3375
7,0.0112812797362126,"Q + gaze",0.291666666666667,0.137916666666667
7,0.0112812797362126,"softmax(Q)",0.291666666666667,0.132083333333333
7,0.0112812797362126,"softmax(Q * gaze)",0.291666666666667,0.2925
7,0.0112812797362126,"softmax(Q) * gaze",0.291666666666667,0.315416666666667
7,0.0112812797362126,"softmax(Q) + gaze",0.291666666666667,0.13875
8,0.0798387363593231,"Q",0.125,0.0904166666666667
8,0.0798387363593231,"Q * gaze",0.125,0.372916666666667
8,0.0798387363593231,"Q + gaze",0.125,0.25375
8,0.0798387363593231,"softmax(Q)",0.125,0.0437500000000001
8,0.0798387363593231,"softmax(Q * gaze)",0.125,0.225416666666667
8,0.0798387363593231,"softmax(Q) * gaze",0.125,0.245833333333333
8,0.0798387363593231,"softmax(Q) + gaze",0.125,0.145
9,0.218549744833674,"Q",0.125,0.0425000000000001
9,0.218549744833674,"Q * gaze",0.125,0.359583333333333
9,0.218549744833674,"Q + gaze",0.125,0.247083333333333
9,0.218549744833674,"softmax(Q)",0.125,0.0670833333333333
9,0.218549744833674,"softmax(Q * gaze)",0.125,0.0841666666666667
9,0.218549744833674,"softmax(Q) * gaze",0.125,0.287083333333333
9,0.218549744833674,"softmax(Q) + gaze",0.125,0.267916666666667
10,0.0130659326740543,"Q",0.333333333333333,-0.0479166666666666
10,0.0130659326740543,"Q * gaze",0.333333333333333,0.307083333333333
10,0.0130659326740543,"Q + gaze",0.333333333333333,0.0279166666666667
10,0.0130659326740543,"softmax(Q)",0.333333333333333,0.13875
10,0.0130659326740543,"softmax(Q * gaze)",0.333333333333333,0.550416666666667
10,0.0130659326740543,"softmax(Q) * gaze",0.333333333333333,0.326666666666667
10,0.0130659326740543,"softmax(Q) + gaze",0.333333333333333,0.17875
11,0.0070848838718558,"Q",0.583333333333333,0.00791666666666668
11,0.0070848838718558,"Q * gaze",0.583333333333333,0.206666666666667
11,0.0070848838718558,"Q + gaze",0.583333333333333,0.0183333333333333
11,0.0070848838718558,"softmax(Q)",0.583333333333333,-0.00375000000000003
11,0.0070848838718558,"softmax(Q * gaze)",0.583333333333333,0.619166666666667
11,0.0070848838718558,"softmax(Q) * gaze",0.583333333333333,0.217083333333333
11,0.0070848838718558,"softmax(Q) + gaze",0.583333333333333,0.0141666666666667
12,0.0665787358760484,"Q",0.25,0.0591666666666666
12,0.0665787358760484,"Q * gaze",0.25,0.385833333333333
12,0.0665787358760484,"Q + gaze",0.25,0.181666666666667
12,0.0665787358760484,"softmax(Q)",0.25,0.0604166666666667
12,0.0665787358760484,"softmax(Q * gaze)",0.25,0.26375
12,0.0665787358760484,"softmax(Q) * gaze",0.25,0.297083333333333
12,0.0665787358760484,"softmax(Q) + gaze",0.25,0.1625
13,0.170221329571558,"Q",0.166666666666667,-0.0483333333333333
13,0.170221329571558,"Q * gaze",0.166666666666667,0.335
13,0.170221329571558,"Q + gaze",0.166666666666667,0.13375
13,0.170221329571558,"softmax(Q)",0.166666666666667,0.00958333333333339
