"","(Intercept)","gaze_diff_z","OEV_z","ORV_z","gaze_diff_z:OEV_z","gaze_diff_z:ORV_z"
"1",1.46931550255079,0.248463947133014,-1.96224272662586,0.283470309473547,0.0329859805236155,0.0970040720759589
"2",-0.0248624838866021,0.39271844423423,-0.646162841547705,0.0815283175614593,0.128011362032709,-0.0184781731575992
"3",0.482637580597436,0.688277580631802,-0.0307252727758851,-0.288138095402216,0.0252779902215682,-0.0722310017030578
"4",-0.131455504526814,0.458379624087852,0.228191030197103,-0.244667058455415,0.0901697510547097,-0.1077972035464
"6",1.17727750401277,0.616902941681886,-0.36912064319258,-0.149079450661077,-0.00677287181586023,-0.0279213360887226
"7",0.0721913724453338,0.542973699578499,0.305241303961839,0.248367415093032,0.15996771817348,-0.0363103774425956
"8",0.4377218961555,-0.0236363271220131,-0.0163474576219159,0.004079444875066,0.0995380770965082,-0.0855018577672039
"9",-0.450841346486062,1.23082656879015,0.154868146191651,0.128000263006785,0.158139648046219,-0.00399830008132832
"10",1.57890770966241,0.0828840483825212,-1.09824177480845,-0.296829130240078,-0.0599791524498518,-0.0386459208732722
"11",0.229317410699968,1.01554222087302,0.072519858962416,-0.0125751735853045,0.085806977113636,-0.0219352754762499
"12",0.0529437048942876,0.932181744873634,-0.741988407085483,0.0943652144421464,0.108252350023437,0.0284796516808066
"13",0.832552380227546,0.607637117559299,0.565617143051234,-0.0911960907638911,0.0440568070975341,-0.0785113371169989
"14",0.761036997689376,0.792587534537922,0.0335088190054041,-0.128924155021213,0.0299851675566695,-0.0421366925018245
"16",0.42748150371039,0.798014180114554,-0.207873143847021,0.310081198741077,0.128958603895381,0.0247605910264378
"17",0.503021518756032,0.354838957056545,0.740128429583953,0.0589996749786433,0.105193669586157,-0.0917944734853995
"18",0.0565380396960211,0.620512509799285,-0.0266638338252762,-0.534416374860044,0.0166553824752865,-0.117733283985171
"19",0.560612693700693,-0.198102917567472,0.430656869845254,-0.0824170701603615,0.0862951974809341,-0.132201212808127
"20",0.358789734102224,1.5124644362606,-0.0285447848173919,-0.0528484527309684,0.0538261033203226,0.016035467381185
"22",0.793568837638337,0.84644807100846,-0.0600507421881524,0.0619803700749443,0.058158633479017,-0.00692010255034315
"23",0.395539845619653,0.368393700509497,-0.112975384046421,0.201106739350341,0.125323050206504,-0.0263992705229339
"24",0.247850277180487,1.93487264671316,-0.0119974214595162,0.19168284446294,0.0940995315651476,0.0762335333286701
"25",1.78388922632697,1.1457259549192,-0.01679173075829,-0.140543641395005,-0.060940442412769,0.00204902110640603
"26",-0.240444162213297,0.679443908843609,0.480861642399434,0.224545688405431,0.178722313249295,-0.0448769304443732
"28",0.431901883957449,0.500291754055061,-0.70063370487396,0.089315405698138,0.0905666185155996,0.00118131629391745
"29",1.75008594472428,0.917554839411145,-0.905355908303381,0.365022698431581,0.0233748921539823,0.102176386081612
"31",1.62237492202857,1.85603216824221,-0.278220602651839,-0.207096487515914,-0.0833521618409243,0.0555932162470627
"32",0.255687847244753,1.06638134028183,-0.206842990622944,-0.0163862785772645,0.0775712469853048,-0.00289371588374015
"33",3.33860309747399,0.24524246300949,-0.143202005977389,0.102894814032999,-0.115117958983834,0.00422121701428687
"34",1.37598209987878,0.607161121505387,-0.797817794178292,-0.117566688397878,-0.0226289015544834,0.00277554242026089
"35",1.5447072204175,0.109934098769839,-0.33692587455791,0.501682971962835,0.0934933787568021,0.0277415769307163
"38",-0.15585336177068,0.82450027997999,-0.0429167048048642,0.0262482137199978,0.125665239503222,-0.0306666373623845
"40",1.25207804065409,0.726587527470588,-1.17955774026401,-0.0161589883408316,-0.00422633116612842,0.0439101736408408
"41",0.379834655104288,2.13655196386587,-0.108292982186297,-0.284800681694486,-0.00661298829016801,0.0343179882812563
"42",1.92878609172758,0.952720619596543,1.07125579288347,-0.0985760996953314,-0.0432565310848903,-0.0638292625746978
"43",-0.660378388605266,2.79615126292088,-0.101023690496305,-0.356285155967174,0.042986607889285,0.053494826319893
"44",2.89621579780099,0.101541665046579,0.824780676692947,-0.0792684104236426,-0.0948057987780131,-0.0917337036644557
"45",0.265594464437292,1.58478014063163,-0.202722778775233,-0.0206875857872255,0.062078537555409,0.0335507982267717
"46",-0.913014059858822,2.22950197108141,-0.542819968719397,-0.645639462145805,0.0203377808119574,-0.00579497543350597
"47",1.58492306147777,0.510063032551041,0.00705275022267984,0.204588996874211,0.0325223089341074,-0.00185585875953172
"48",1.56044339507207,0.869317128757556,-0.235484668277333,-0.171527679825867,-0.0449920464929079,-0.0136443276510694
"49",0.758978698361717,1.02617071160875,0.330709238069815,0.193555204787752,0.0848799318320185,0.00137065420028492
"50",1.40386976185978,0.441604185781531,0.064106483274081,-0.14996256801186,-0.0131297117850878,-0.060631778550955
"51",1.98467930865607,0.926905653420653,0.293904981996789,0.175237585229356,-0.0103523765150985,0.0150632126371522
"52",0.717422389699297,1.35124815589403,-0.287379229923233,-0.00649276547547446,0.0349251643345298,0.031257917314895
"53",3.87515904950262,0.0143916473548868,-0.0907687839164388,0.143325922270043,-0.142201641860542,-0.000478741820904393
"54",0.599714500309996,0.843224479207101,0.00667038333526446,0.26408829088366,0.10962478901554,0.0129288164427817
"55",0.598745786070959,0.479367236518709,-0.0958025959895523,0.0919820601009091,0.0878004181643939,-0.0305420498538205
"56",1.47235873543315,0.276616524884157,-0.0126754611258812,0.0725088113338903,0.024001496847312,-0.037137494630564
"57",3.88032260246335,0.0228564370902782,-0.0841145838607433,0.149417123128573,-0.141658624701957,0.000665384321297705
