"","(Intercept)","ev_difference_z","abs_rel_val_diff_z","OEV_z","ORV_z","abs_gaze_diff_z"
"1",7.4119661716226,-0.113366010312648,-0.024210846673484,0.18316566043701,-0.068067542174004,-0.122886523575674
"2",7.33010855769337,0.0657702384466907,-0.00690069968139208,-0.117913294008003,-0.0359462409110538,-0.153361303634021
"3",6.91388054737055,-0.0235585348824529,-0.0673260133437402,0.0301428129106309,-0.0875367414267902,0.0677418007267098
"4",7.22013607656541,-0.0431187644921865,-0.0224083815023588,0.0791635378681968,-0.045834468217077,-0.233014622870889
"6",7.2928043178916,-0.00609785121568464,-0.143467771838654,0.039190441413728,-0.134005869588448,-0.0585690037734398
"7",6.45991169702294,-0.00770268575180055,-0.053409476794906,-0.0132070897956937,-0.0417541706303547,0.0313218508416013
"8",7.19460523228384,0.142058816667706,-0.0128576375806585,-0.0507441961768031,-0.0194742952201393,-0.0918979632253263
"9",7.12521472456191,0.0129130420816327,-0.0479574556342934,0.0112801813760104,-0.0339311030790023,-0.146912697091267
"10",7.29942325798661,0.0190622374222336,-0.0357968071622203,0.00773661149165174,-0.0636158697084291,-0.17956864334295
"11",5.76731752020886,-0.0410678766674762,-0.0828138379793763,0.000941365891061478,-0.0370479704623153,0.157247773840377
"12",7.55257505623393,-0.010999810275455,0.000949449010795286,-0.10219998700989,-0.0125616296014474,-0.128320252955669
"13",7.27968903879,0.0196338295358274,-0.0424585289288767,-0.0714906973693114,-0.05384944153748,-0.171940546384065
"14",6.91122330276734,0.00599819766589425,-0.058725636896802,-0.0272200100393974,-0.05807193571886,0.0417362179338587
"16",6.6946970672596,0.057290428651037,-0.0334978208543646,-0.0471795594103423,-0.0477114004391552,-0.071973365424306
"17",7.01149693348217,0.0130113215010777,-0.0128044705819798,-0.0447727152304832,-0.0658181670357241,-0.135851501425476
"18",7.42530413661169,-0.00499676653482725,-0.0967630465279224,0.0716954505402483,-0.093386284486487,-0.0709698834313288
"19",7.58398141641005,0.0454721818864805,-0.166522000697145,-0.0123333766696194,-0.0990816066222263,-0.0465386904379415
"20",7.32296278725336,0.0035243491687696,-0.0951194309938092,-0.0548745307759317,-0.0695472260624746,-0.0394863108804054
"22",7.08385767915929,0.0543855569750088,-0.147845714286032,-0.0407378038841932,-0.106900654342953,-0.0389277928701632
"23",7.1711644009965,0.0433452562178816,-0.136941729284645,-0.0278248459426561,-0.0582307337581757,-0.129858518643368
"24",7.04089639292511,-0.0237428426073157,0.0180920672446737,-0.0986510076990765,-0.036676856986566,-0.10608006925636
