"gaze_bucket","model","mean_acc","sd_acc","n","mean_fit","se","upper","lower"
1,"Q",0.571666666666667,0.211964945974554,50,0.705233333333333,0.0299763701344894,0.601643036801156,0.541690296532177
1,"Q * gaze",0.571666666666667,0.211964945974554,50,0.413558333333333,0.0299763701344894,0.601643036801156,0.541690296532177
1,"Q + gaze",0.571666666666667,0.211964945974554,50,0.562966666666667,0.0299763701344894,0.601643036801156,0.541690296532177
1,"softmax(Q)",0.571666666666667,0.211964945974554,50,0.768625,0.0299763701344894,0.601643036801156,0.541690296532177
1,"softmax(Q * gaze)",0.571666666666667,0.211964945974554,50,0.459316666666667,0.0299763701344894,0.601643036801156,0.541690296532177
1,"softmax(Q) * gaze",0.571666666666667,0.211964945974554,50,0.507408333333333,0.0299763701344894,0.601643036801156,0.541690296532177
1,"softmax(Q) + gaze",0.571666666666667,0.211964945974554,50,0.652491666666667,0.0299763701344894,0.601643036801156,0.541690296532177
1,"softmax(Q + gaze)",0.571666666666667,0.211964945974554,50,0.576308333333333,0.0299763701344894,0.601643036801156,0.541690296532177
2,"Q",0.8075,0.171876481646881,50,0.73,0.024307005139799,0.831807005139799,0.783192994860201
2,"Q * gaze",0.8075,0.171876481646881,50,0.594391666666667,0.024307005139799,0.831807005139799,0.783192994860201
2,"Q + gaze",0.8075,0.171876481646881,50,0.701933333333333,0.024307005139799,0.831807005139799,0.783192994860201
2,"softmax(Q)",0.8075,0.171876481646881,50,0.792975,0.024307005139799,0.831807005139799,0.783192994860201
2,"softmax(Q * gaze)",0.8075,0.171876481646881,50,0.651558333333333,0.024307005139799,0.831807005139799,0.783192994860201
2,"softmax(Q) * gaze",0.8075,0.171876481646881,50,0.650675,0.024307005139799,0.831807005139799,0.783192994860201
2,"softmax(Q) + gaze",0.8075,0.171876481646881,50,0.769633333333333,0.024307005139799,0.831807005139799,0.783192994860201
2,"softmax(Q + gaze)",0.8075,0.171876481646881,50,0.765975,0.024307005139799,0.831807005139799,0.783192994860201
3,"Q",0.865833333333333,0.145386828605527,50,0.743416666666667,0.0205608024804349,0.886394135813768,0.845272530852898
3,"Q * gaze",0.865833333333333,0.145386828605527,50,0.702833333333333,0.0205608024804349,0.886394135813768,0.845272530852898
3,"Q + gaze",0.865833333333333,0.145386828605527,50,0.763616666666667,0.0205608024804349,0.886394135813768,0.845272530852898
3,"softmax(Q)",0.865833333333333,0.145386828605527,50,0.813775,0.0205608024804349,0.886394135813768,0.845272530852898
3,"softmax(Q * gaze)",0.865833333333333,0.145386828605527,50,0.766091666666667,0.0205608024804349,0.886394135813768,0.845272530852898
3,"softmax(Q) * gaze",0.865833333333333,0.145386828605527,50,0.753458333333333,0.0205608024804349,0.886394135813768,0.845272530852898
3,"softmax(Q) + gaze",0.865833333333333,0.145386828605527,50,0.827966666666667,0.0205608024804349,0.886394135813768,0.845272530852898
3,"softmax(Q + gaze)",0.865833333333333,0.145386828605527,50,0.8419,0.0205608024804349,0.886394135813768,0.845272530852898
4,"Q",0.911666666666667,0.116532965176336,50,0.741875,0.0164802499815926,0.928146916648259,0.895186416685074
4,"Q * gaze",0.911666666666667,0.116532965176336,50,0.815175,0.0164802499815926,0.928146916648259,0.895186416685074
4,"Q + gaze",0.911666666666667,0.116532965176336,50,0.814258333333333,0.0164802499815926,0.928146916648259,0.895186416685074
4,"softmax(Q)",0.911666666666667,0.116532965176336,50,0.8128,0.0164802499815926,0.928146916648259,0.895186416685074
4,"softmax(Q * gaze)",0.911666666666667,0.116532965176336,50,0.857575,0.0164802499815926,0.928146916648259,0.895186416685074
4,"softmax(Q) * gaze",0.911666666666667,0.116532965176336,50,0.845533333333333,0.0164802499815926,0.928146916648259,0.895186416685074
4,"softmax(Q) + gaze",0.911666666666667,0.116532965176336,50,0.863458333333333,0.0164802499815926,0.928146916648259,0.895186416685074
4,"softmax(Q + gaze)",0.911666666666667,0.116532965176336,50,0.887125,0.0164802499815926,0.928146916648259,0.895186416685074
5,"Q",0.973333333333333,0.0503389869330142,50,0.768166666666667,0.00711900780367907,0.980452341137012,0.966214325529654
5,"Q * gaze",0.973333333333333,0.0503389869330142,50,0.908625,0.00711900780367907,0.980452341137012,0.966214325529654
5,"Q + gaze",0.973333333333333,0.0503389869330142,50,0.8743,0.00711900780367907,0.980452341137012,0.966214325529654
5,"softmax(Q)",0.973333333333333,0.0503389869330142,50,0.837491666666667,0.00711900780367907,0.980452341137012,0.966214325529654
5,"softmax(Q * gaze)",0.973333333333333,0.0503389869330142,50,0.927008333333333,0.00711900780367907,0.980452341137012,0.966214325529654
5,"softmax(Q) * gaze",0.973333333333333,0.0503389869330142,50,0.922008333333333,0.00711900780367907,0.980452341137012,0.966214325529654
5,"softmax(Q) + gaze",0.973333333333333,0.0503389869330142,50,0.909916666666667,0.00711900780367907,0.980452341137012,0.966214325529654
5,"softmax(Q + gaze)",0.973333333333333,0.0503389869330142,50,0.936175,0.00711900780367907,0.980452341137012,0.966214325529654
