"","(Intercept)","trial_number_z","gaze_diff_z","OEV_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"1",2.10033649055155,0.39634465294895,1.39954781606275,-0.033769795942189,0.00868991545972668,0.0182924774232225
"2",3.15204425546985,1.2561916806322,1.03746787809922,-0.154515125315685,-0.0703131679979015,-0.0144143149837367
"3",0.906976613192023,0.269008407039675,1.28295770178388,-0.0602559487282154,0.138624548930609,0.000875781206944554
"4",1.49679162981906,0.0633030634711162,1.50770133781134,0.0882581168322066,0.016555175488148,0.0683427251012881
"6",3.62684026663872,0.819813823678546,1.50741346109298,0.0595498317199131,-0.192271147076781,0.103694048416041
"7",3.06952246064693,1.25265326525415,0.900183960725083,0.34463231867329,0.0205208339968097,0.197726279038373
"8",4.2258406127075,1.17869834345077,1.25434005898537,-0.0776899331352602,-0.237078852994985,0.0207781015981513
"9",1.86887514044001,0.359684117733576,0.587077607251236,0.149902026061873,0.0438167708416494,-0.0640426066325949
"10",3.3754224548669,1.55686255012707,1.06832344628174,0.247270559981834,0.0653835250947989,0.223346558381058
"11",0.0562416971824571,-0.0539112649858637,1.25830383364411,0.236645657334394,0.352022717355431,0.11271246037634
"12",3.01685481636781,0.886049246630795,0.867674831199855,0.252304327058886,0.0172780953468379,0.0887342890122849
"13",1.91949202258901,0.296049300046519,0.560059931141489,0.456750049014225,0.0859780229135392,0.0651971336909498
"14",1.74856548997768,0.121045289541675,1.45216988711144,-0.697018786584686,-0.182574442080852,-0.317759210509301
"16",2.24511245814546,0.777809917305343,0.651190852996188,-0.00996421216026788,0.0434575046349803,-0.0737074500619774
"17",1.27238751213237,0.0167948340880263,1.15909357807732,0.127131027183453,0.0257174475206332,0.0135043852909546
"18",3.99349354826198,1.59173203902703,1.34640374365318,-0.125470774826392,-0.128113481393683,0.0901183157124927
"19",3.62178325408413,1.17817808901061,0.832782925119895,0.333899878491064,-0.0443182504391461,0.147336754098547
"20",1.70192378317455,-0.0207899568078094,1.30071314202026,-0.27285120639722,-0.098962808372094,-0.168450519762489
"22",2.96581142506032,0.552755382956541,1.59585679585357,-0.0633324483175666,-0.184135646757891,0.0440440821636403
"23",3.27114712171473,1.30713447728672,0.558335526656327,0.141245287377269,0.00778313389873377,0.0284512746649667
"24",1.78461448391049,0.698136142766889,1.28655351662306,-0.0641773046877656,0.00888062361282609,0.0402271012334776
"25",1.23431289317906,-0.0205821014934816,1.26440909192149,0.0967861018865119,0.0175921474175351,0.0167920909310025
"26",0.561327374486972,-0.019663725337568,1.37408033251261,-0.288177995861834,0.122403180433953,-0.123515533875992
"28",2.98301572420027,0.560485334466623,1.19418015848921,0.0809238610973018,-0.108917170601286,0.0270102337089094
"29",2.29695552034949,-0.158946663759843,1.7633875952942,-0.24048109895601,-0.281878391685033,-0.094172636496383
"31",4.92469898686497,1.23873397135873,1.33955160006727,0.026474522293582,-0.315306631449778,0.0751111374094497
"32",3.49207408421606,0.860644278008744,1.80208006820521,-0.358076530004253,-0.238999127637424,-0.0226169523039731
"33",2.82520455534487,0.748160988881821,0.999537029865172,0.182264013647731,-0.0241192698269333,0.068709894482219
"34",3.72129688020467,1.04466576740432,1.1712612743512,0.160695576990101,-0.0929478971169399,0.111528344235592
"35",0.554682563646463,0.328012245434779,0.548478387707865,0.141838279369306,0.229328108340902,-0.0373933145884424
"38",3.34332424216127,0.637154797547923,1.37891919570652,0.456852215083666,-0.0790728890364317,0.246290401179008
"40",2.42922020581573,0.625952090350916,1.04897482883946,-0.227750584965235,0.00240154998177285,-0.124745745854451
"41",-0.0113112215286151,-0.0179466154154238,1.77402576049374,-0.405519999935536,0.251589796660069,-0.0769816841575965
"42",2.26975249102575,0.737132121991542,1.83326871852341,-0.187836226569082,-0.052902586961462,0.0867091159478009
"43",1.77065867127653,-0.0202976249154954,2.22813866227048,0.333028600338376,0.0279246052403282,0.315845345711702
"44",2.51736042040627,0.276026447758201,1.46246967542019,0.22770795420076,-0.0413706268767553,0.12433653144197
"45",2.79806022559589,0.975662243643861,1.83217575035342,-0.0387513177086493,-0.0235366403742848,0.176921252936948
"46",3.04780775583728,0.380282632997525,1.61574396492697,-0.241063379267112,-0.170312051421334,-0.0689832293174063
"47",3.11103496811497,0.454839934627674,1.41794166015657,-0.0340648605098961,-0.179516571789334,-0.00103844948803833
"48",2.54801625367604,0.264748341456467,1.56463950205025,-0.158837665055536,-0.216047703191755,-0.0392058722265891
"49",2.0259275049553,0.43538752719442,1.78404094505415,-0.421353065862476,-0.0642327319851599,-0.0762513786799111
"50",3.66276763017465,0.85271621017111,1.72844553026646,-0.00840966369434666,-0.205626173574035,0.122219120556144
"51",1.93944404115394,-0.207262619939831,1.70421489016862,0.241258413679034,-0.0522371456813682,0.125530946653324
"52",2.98100532897102,0.82553948989492,1.33214071654464,-0.206659476650353,-0.113499395821256,-0.0393953549522116
"53",3.01543816276166,0.915540898127863,1.66407760886226,-0.462514844170906,-0.211171693931901,-0.0765930699044737
"54",2.38859444941929,1.04748660738989,1.27525711436804,-0.0761869078465619,0.051661583056361,0.0652722717700888
"55",0.527946499687971,0.188259417362813,0.477347525606442,0.00430788225706418,0.196063394266121,-0.13981601942847
"56",2.92856293965362,1.18612891399706,1.28117066837767,0.00626783047989692,0.0436231408858694,0.109093236719541
"57",4.46978851158951,1.27792110075026,1.26848466225786,0.0444986229391168,-0.23962117566243,0.089966244018505
"58",2.32152433224182,0.678600429009296,1.3233791554737,-0.83564453020166,-0.216700561389193,-0.341977564894671
